conformer_id,energy
1,-82.42973943
2,-82.42950784
3,-82.42949309
4,-82.42950792
5,-82.42956283
6,-82.42954511
7,-82.42896822
8,-82.42874618
9,-82.42952974
10,-82.42953408
11,-82.42951523
12,-82.42896779
13,-82.42940114
14,-82.42873417
15,-82.42881842
16,-82.42898482
17,-82.42880856
18,-82.42953963
19,-82.42879059
20,-82.42880847
21,-82.4295553
22,-82.42941979
23,-82.42954276
24,-82.42898239
25,-82.42942146
26,-82.42956527
27,-82.42953919
28,-82.42951409
29,-82.42953644
30,-82.42957216
31,-82.42941432
32,-82.42957166
33,-82.4295243
34,-82.42943601
35,-82.42953637
36,-82.42955173
37,-82.42953207
38,-82.42926841
39,-82.42955314
40,-82.42954878
41,-82.4295884
42,-82.42877234
43,-82.42955832
44,-82.42877531
45,-82.42890103
46,-82.42879688
47,-82.42879304
48,-82.42877394
49,-82.42879537
50,-82.42873279
51,-82.42876239
52,-82.42899096
53,-82.42876044
54,-82.42874762
55,-82.42877909
56,-82.42952898
57,-82.42880581
58,-82.42886522
59,-82.42892877
60,-82.42956689
61,-82.42895227
62,-82.42950656
63,-82.4289897
64,-82.42948885
65,-82.42948146
66,-82.42954175
67,-82.42948249
68,-82.42948181
69,-82.42945179
70,-82.42901704
71,-82.42951563
72,-82.42951392
73,-82.42950833
74,-82.42889601
75,-82.42952028
76,-82.42899485
77,-82.4295061
78,-82.42951075
79,-82.430276
80,-82.43023163
81,-82.43025296
82,-82.43027994
83,-82.42891948
84,-82.42889958
85,-82.43026372
86,-82.42888594
87,-82.4294586
88,-82.430205
89,-82.42895054
90,-82.42879984
91,-82.4295119
92,-82.42884496
93,-82.4295452
94,-82.43028039
95,-82.42882881
96,-82.42944176
97,-82.42951996
98,-82.42878457
99,-82.42883727
100,-82.42893166
101,-82.4294283
102,-82.42946774
103,-82.42943234
104,-82.43025874
105,-82.42942797
106,-82.43028113
107,-82.4287429
108,-82.4303035
109,-82.42892092
110,-82.43028634
111,-82.43030392
112,-82.43023521
113,-82.43032198
114,-82.43032178
115,-82.43020801
116,-82.43030217
117,-82.43021744
118,-82.43023178
119,-82.43026067
120,-82.43029164
121,-82.42942045
122,-82.42872232
123,-82.42872202
124,-82.43023776
125,-82.42852142
126,-82.43024803
127,-82.43023372
128,-82.43028305
129,-82.42885578
130,-82.42951672
131,-82.42942258
132,-82.42903444
133,-82.43226291
134,-82.43227293
135,-82.43225995
136,-82.43227628
137,-82.43225284
138,-82.43226096
139,-82.43226586
140,-82.43224981
141,-82.43087072
142,-82.4321059
143,-82.43210321
144,-82.43208809
145,-82.43208078
146,-82.43208478
147,-82.43021022
148,-82.43205461
149,-82.432071
150,-82.43210242
151,-82.43210838
152,-82.42890733
153,-82.43208998
154,-82.43016695
155,-82.42892695
156,-82.43227624
157,-82.42968731
158,-82.42973923
159,-82.42970251
160,-82.42972536
161,-82.42970736
162,-82.43016186
163,-82.4307684
164,-82.42972949
165,-82.4296962
166,-82.429704
167,-82.42966823
168,-82.43068709
169,-82.43210468
170,-82.42922296
171,-82.42966769
172,-82.42971318
173,-82.43078041
174,-82.42969775
175,-82.42902179
176,-82.42904584
177,-82.42905513
178,-82.43071824
179,-82.4290789
180,-82.42907473
181,-82.42907509
182,-82.42906745
183,-82.42906127
184,-82.43078699
185,-82.43072925
186,-82.43227692
187,-82.43210912
188,-82.43075802
189,-82.43077004
190,-82.43021188
191,-82.43019912
192,-82.43016394
193,-82.43017574
194,-82.42918576
195,-82.43078924
196,-82.42973249
197,-82.42982033
198,-82.43070125
199,-82.42955521
200,-82.42860258
201,-82.4289702
202,-82.42876325
203,-82.43032576
204,-82.42886719
205,-82.4297169
206,-82.42898226
207,-82.42944225
208,-82.42899028
209,-82.43219936
210,-82.42910525
211,-82.43005747
212,-82.43068564
213,-82.42887053
214,-82.42912567
215,-82.42885711
216,-82.42998488
217,-82.42778722
218,-82.42778778
219,-82.42933729
220,-82.42941854
221,-82.42775449
222,-82.42775686
223,-82.42859562
224,-82.42866167
225,-82.42776782
226,-82.42776668
227,-82.43129155
228,-82.4268448
229,-82.42682627
230,-82.42686065
231,-82.42677843
232,-82.42676983
233,-82.42685593
234,-82.42858564
235,-82.42778538
236,-82.42964774
